Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
Blue Monday,Bob Seger,06.10.89,40,12 Wks,06.17.89
Miami,Bob Seger,11.29.86,47,12 Wks,11.29.86
House Behind A House,Bob Seger & The Silver Bullet Band,12.25.82,29,12 Wks,12.25.82
Masterpiece,Motionless In White,04.30.22,1,1 WKS,10.22.22
Another Life,Motionless In White,02.01.20,14,12 Wks,07.18.20
Sign Of Life,Motionless In White,09.30.23,8,12 Wks,02.17.24
Werewolf,Motionless In White,12.03.22,10,12 Wks,04.01.23
Reincarnate,Motionless In White,11.01.14,24,12 Wks,01.03.15
LOUD (F**k It),Motionless In White,04.01.17,18,12 Wks,06.03.17
Necessary Evil,Motionless In White Featuring Jonathan Davis,11.11.17,29,12 Wks,12.16.17
Brand New Numb,Motionless In White,05.18.19,22,12 Wks,07.27.19
America,Motionless In White,07.13.13,30,12 Wks,08.03.13
Somebody Told Me,Motionless In White,09.26.20,32,12 Wks,11.07.20
Voices,Motionless In White,07.28.18,28,12 Wks,09.08.18
Unstoppable,Motionless In White,08.01.15,39,12 Wks,08.01.15
Working On It,Chris Rea,01.21.89,1,1 WKS,03.18.89
The Road To Hell,Chris Rea,02.10.90,11,12 Wks,03.24.90
Heavy Is The Head,Zac Brown Band Featuring Chris Cornell,03.21.15,1,2 WKS,05.09.15
Junkyard,Zac Brown Band,08.29.15,32,12 Wks,08.29.15
She's Mine,Steve Perry,05.12.84,15,12 Wks,07.28.84
Don't Fight It,Kenny Loggins with Steve Perry,09.04.82,4,12 Wks,10.02.82
"Oh, Sherrie",Steve Perry,04.07.84,1,2 WKS,05.05.84
You Better Wait,Steve Perry,07.16.94,6,12 Wks,08.13.94
Strung Out,Steve Perry,09.22.84,17,12 Wks,10.27.84
I Believe,Steve Perry,05.05.84,43,12 Wks,05.05.84
Stand Up,David Lee Roth,02.06.88,5,12 Wks,04.30.88
Sensible Shoes,David Lee Roth,03.09.91,6,12 Wks,05.04.91
Damn Good,David Lee Roth,02.13.88,2,12 Wks,04.02.88
Tobacco Road,David Lee Roth,07.19.86,10,12 Wks,08.30.86
Goin' Crazy,David Lee Roth,08.30.86,12,12 Wks,10.11.86
A Lil' Ain't Enough,David Lee Roth,01.19.91,3,12 Wks,02.02.91
California Girls,David Lee Roth,01.19.85,3,12 Wks,02.02.85
Just Like Paradise,David Lee Roth,01.16.88,1,4 WKS,01.23.88
Yankee Rose,David Lee Roth,07.05.86,10,12 Wks,07.19.86
Easy Street,David Lee Roth,02.16.85,14,12 Wks,03.09.85
She's My Machine,David Lee Roth,03.05.94,12,12 Wks,03.19.94
Just A Gigolo/I Ain't Got Nobody,David Lee Roth,04.06.85,25,12 Wks,04.20.85
Knucklebones,David Lee Roth,02.06.88,45,12 Wks,03.19.88
Tell The Truth,David Lee Roth,06.15.91,39,12 Wks,06.22.91
Here Comes The Rain Again,Eurythmics,01.21.84,8,12 Wks,02.18.84
Sweet Dreams (Are Made Of This),Eurythmics,06.25.83,16,12 Wks,08.06.83
Missionary Man,Eurythmics,07.05.86,1,1 WKS,08.16.86
Would I Lie To You,Eurythmics,04.27.85,2,12 Wks,06.01.85
I Need A Man,Eurythmics,12.19.87,32,12 Wks,01.23.88
I Love You Like A Ball & Chain,Eurythmics,07.13.85,36,12 Wks,07.13.85
Cold Hard Bitch,Jet,02.14.04,1,8 WKS,04.24.04
Are You Gonna Be My Girl,Jet,09.27.03,7,12 Wks,03.13.04
Put Your Money Where Your Mouth Is,Jet,08.26.06,14,12 Wks,10.21.06
Stand Up,Jet,12.23.06,22,12 Wks,02.10.07
She's A Genius,Jet,07.25.09,18,12 Wks,09.12.09
Black Hearts (On Fire),Jet,11.28.09,32,12 Wks,01.09.10
Rollover D.J.,Jet,07.17.04,14,12 Wks,08.28.04
Look What You've Done,Jet,11.06.04,33,12 Wks,11.13.04
My Name Is Thunder,Jet + The Bloody Beetroots,09.30.17,35,12 Wks,10.21.17
Do What You Do,Mudvayne,10.11.08,2,12 Wks,03.14.09
Happy?,Mudvayne,02.19.05,1,1 WKS,05.28.05
Fall Into Sleep,Mudvayne,01.07.06,4,12 Wks,03.25.06
Not Falling,Mudvayne,10.26.02,11,12 Wks,03.22.03
Scream With Me,Mudvayne,11.28.09,3,12 Wks,03.06.10
Forget To Remember,Mudvayne,07.23.05,8,12 Wks,11.26.05
World So Cold,Mudvayne,05.31.03,16,12 Wks,08.30.03
Scarlet Letters,Mudvayne,03.28.09,7,12 Wks,07.04.09
Dull Boy,Mudvayne,10.27.07,17,12 Wks,12.15.07
Dig,Mudvayne,04.21.01,33,12 Wks,04.28.01
Death Blooms,Mudvayne,07.28.01,32,12 Wks,09.22.01
Psycho Circus,KISS,09.05.98,1,1 WKS,10.31.98
LICK IT UP,KISS,10.22.83,19,12 Wks,11.12.83
Jungle,KISS,10.18.97,8,12 Wks,11.15.97
Heaven's on Fire,KISS,09.22.84,11,12 Wks,10.20.84
Hide Your Heart,KISS,11.04.89,22,12 Wks,12.09.89
Forever,KISS,02.10.90,17,12 Wks,03.17.90
Reason To Live,KISS,11.28.87,34,12 Wks,12.26.87
Rock And Roll All Night (Live Version),KISS,03.30.96,13,12 Wks,05.04.96
Tears Are Falling,KISS,09.28.85,20,12 Wks,11.02.85
You Wanted The Best,KISS,12.19.98,22,12 Wks,01.02.99
Domino,KISS,08.29.92,26,12 Wks,10.03.92
God Gave Rock And Roll To You II,KISS,08.03.91,21,12 Wks,08.31.91
Hell Or Hallelujah,KISS,09.01.12,36,12 Wks,09.15.12
I Love It Loud,KISS,05.29.93,22,12 Wks,06.19.93
Crazy Crazy Nights,KISS,09.19.87,37,12 Wks,10.03.87
I Just Wanna,KISS,06.20.92,34,12 Wks,06.27.92
Rise To It,KISS,06.16.90,40,12 Wks,06.23.90
Modern Day Delilah,KISS,10.03.09,34,12 Wks,10.10.09
Gone Away,The Offspring,03.01.97,1,2 WKS,05.10.97
Come Out And Play (Keep 'Em Separated),The Offspring,07.16.94,10,12 Wks,10.15.94
Self Esteem,The Offspring,10.01.94,7,12 Wks,12.24.94
The Kids Aren't Alright,The Offspring,06.12.99,11,12 Wks,09.04.99
Hit That,The Offspring,11.15.03,6,12 Wks,01.31.04
Pretty Fly (For A White Guy),The Offspring,10.17.98,5,12 Wks,01.02.99
"You're Gonna Go Far, Kid",The Offspring,08.30.08,10,12 Wks,01.10.09
Gotta Get Away,The Offspring,01.28.95,15,12 Wks,04.08.95
I Choose,The Offspring,08.02.97,5,12 Wks,10.18.97
Defy You,The Offspring,12.08.01,8,12 Wks,02.02.02
Hammerhead,The Offspring,05.24.08,8,12 Wks,07.05.08
Days Go By,The Offspring,05.19.12,2,12 Wks,08.11.12
Coming For You,The Offspring,02.21.15,1,1 WKS,04.25.15
Let The Bad Times Roll,The Offspring,03.06.21,1,1 WKS,05.22.21
Behind Your Walls,The Offspring,04.09.22,17,12 Wks,07.09.22
Why Don't You Get A Job?,The Offspring,02.13.99,10,12 Wks,03.27.99
Turning Into You,The Offspring,09.29.12,24,12 Wks,11.24.12
(Can't Get My) Head Around You,The Offspring,03.13.04,16,12 Wks,06.05.04
Original Prankster,The Offspring,10.21.00,7,12 Wks,01.06.01
She's Got Issues,The Offspring,10.23.99,19,12 Wks,12.25.99
Can't Repeat,The Offspring,05.21.05,10,12 Wks,07.02.05
Want You Bad,The Offspring,02.10.01,23,12 Wks,03.10.01
Half-Truism,The Offspring,06.27.09,30,12 Wks,07.18.09
Next To You,The Offspring,10.15.05,29,12 Wks,10.29.05
All I Want,The Offspring,01.18.97,18,12 Wks,02.15.97
"Kristy, Are You Doing OK?",The Offspring,02.14.09,38,12 Wks,02.21.09
Totalimmortal,The Offspring,06.10.00,36,12 Wks,06.10.00
SUBDIVISIONS,Rush,09.25.82,5,12 Wks,10.09.82
Tom Sawyer,Rush,03.21.81,8,12 Wks,03.28.81
Ghost Of A Chance,Rush,11.30.91,2,12 Wks,02.22.92
Cold Fire,Rush,11.20.93,2,12 Wks,02.12.94
Roll The Bones,Rush,10.19.91,9,12 Wks,01.04.92
NEW WORLD MAN,Rush,09.11.82,1,2 WKS,10.09.82
Dreamline,Rush,09.07.91,1,4 WKS,09.21.91
Far Cry,Rush,03.31.07,22,12 Wks,04.14.07
Half The World,Rush,11.16.96,6,12 Wks,01.25.97
Closer To The Heart,Rush,11.21.81,21,12 Wks,01.09.82
Limelight,Rush,03.21.81,4,12 Wks,04.18.81
Time Stand Still,Rush,09.19.87,3,12 Wks,11.07.87
The Big Money,Rush,10.12.85,4,12 Wks,11.09.85
Manhattan Project,Rush,11.23.85,10,12 Wks,01.25.86
Distant Early Warning,Rush,04.28.84,3,12 Wks,05.26.84
Headlong Flight,Rush,05.12.12,23,12 Wks,06.30.12
Body Electric,Rush,05.05.84,23,12 Wks,07.21.84
Territories,Rush,11.16.85,30,12 Wks,11.23.85
One Little Victory,Rush,04.20.02,10,12 Wks,05.25.02
Test For Echo,Rush,09.07.96,1,3 WKS,10.05.96
Presto,Rush,12.30.89,14,12 Wks,02.10.90
Show Don't Tell,Rush,11.18.89,1,2 WKS,12.30.89
Stick It Out,Rush,10.23.93,1,4 WKS,10.23.93
Nobody's Hero,Rush,02.26.94,9,12 Wks,03.26.94
The Pass,Rush,03.03.90,15,12 Wks,03.31.90
Red Sector A,Rush,05.12.84,21,12 Wks,06.16.84
Summertime Blues,Rush,06.19.04,30,12 Wks,07.03.04
Bravado,Rush,03.28.92,13,12 Wks,05.16.92
Lock And Key,Rush,12.12.87,16,12 Wks,01.23.88
Force 10,Rush,09.05.87,3,12 Wks,10.03.87
Secret Touch,Rush,07.06.02,25,12 Wks,08.03.02
The Spirit Of Radio (Live),Rush,11.07.98,27,12 Wks,11.21.98
Marathon,Rush,01.14.89,6,12 Wks,01.28.89
Driven,Rush,03.22.97,20,12 Wks,04.19.97
ANALOG KID,Rush,09.25.82,19,12 Wks,10.09.82
Mystic Rhythms,Rush,03.08.86,21,12 Wks,03.29.86
Superconductor,Rush,05.19.90,37,12 Wks,06.02.90
Mission,Rush,03.11.89,33,12 Wks,04.01.89
Animate,Rush,05.21.94,35,12 Wks,06.04.94
Caravan,Rush,08.07.10,38,12 Wks,08.14.10
The Wreckers,Rush,10.13.12,38,12 Wks,10.20.12
Between The Wheels,Rush,05.05.84,39,12 Wks,05.05.84
Young Turks,Rod Stewart,10.31.81,23,12 Wks,01.09.82
Cigarettes And Alcohol,Rod Stewart,05.23.98,13,12 Wks,07.11.98
Infatuation,Rod Stewart,05.26.84,5,12 Wks,07.07.84
People Get Ready,Jeff Beck & Rod Stewart,06.15.85,5,12 Wks,07.20.85
Downtown Train,Rod Stewart,11.25.89,1,2 WKS,01.13.90
Lost In You,Rod Stewart,05.07.88,3,12 Wks,06.18.88
Dynamite,Rod Stewart,05.28.88,16,12 Wks,07.23.88
Forever Young,Rod Stewart,08.27.88,13,12 Wks,10.01.88
"Tora, Tora, Tora (Out With The Boys)",Rod Stewart,12.12.81,38,12 Wks,01.30.82
Rhythm Of My Heart,Rod Stewart,03.16.91,13,12 Wks,04.06.91
Love Touch,Rod Stewart,06.07.86,26,12 Wks,06.28.86
Some Guys Have All The Luck,Rod Stewart,09.15.84,27,12 Wks,10.20.84
Rebel Heart,Rod Stewart,05.04.91,17,12 Wks,06.01.91
Cut Across Shorty,Rod Stewart,05.15.93,16,12 Wks,06.05.93
Rocks,Rod Stewart,09.19.98,31,12 Wks,10.03.98
GUESS I'LL ALWAYS LOVE YOU,Rod Stewart,11.13.82,21,12 Wks,11.13.82
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,02.20.82,29,12 Wks,02.27.82
Another Heartache,Rod Stewart,09.13.86,45,12 Wks,09.27.86
Gi' Me Wings,Rod Stewart,04.04.81,45,12 Wks,04.04.81
My Heart Can't Tell You No,Rod Stewart,02.11.89,50,12 Wks,02.11.89
Fly Away,Lenny Kravitz,07.18.98,1,3 WKS,11.07.98
Are You Gonna Go My Way,Lenny Kravitz,03.20.93,1,2 WKS,06.12.93
American Woman,Lenny Kravitz,05.22.99,3,12 Wks,06.26.99
Dig In,Lenny Kravitz,09.29.01,11,12 Wks,11.17.01
Let Love Rule,Lenny Kravitz,11.25.89,23,12 Wks,12.30.89
Bring It On,Lenny Kravitz,11.24.07,25,12 Wks,12.29.07
Where Are We Runnin'?,Lenny Kravitz,04.24.04,30,12 Wks,05.22.04
Believe,Lenny Kravitz,07.03.93,15,12 Wks,08.14.93
Rock And Roll Is Dead,Lenny Kravitz,09.02.95,4,12 Wks,09.23.95
Is There Any Love In Your Heart,Lenny Kravitz,10.09.93,19,12 Wks,11.27.93
Deuce,Lenny Kravitz,06.25.94,15,12 Wks,07.23.94
Dirty White Boots,Lenny Kravitz,11.15.14,27,12 Wks,12.13.14
Always On The Run,Lenny Kravitz,05.04.91,40,12 Wks,05.11.91
Spinning Around Over You,Lenny Kravitz,02.19.94,37,12 Wks,02.26.94
Mr. Cab Driver,Lenny Kravitz,05.12.90,50,12 Wks,05.12.90
Heavy Is The Crown,Daughtry,04.17.21,4,12 Wks,09.25.21
Artificial,Daughtry,09.02.23,1,1 WKS,02.17.24
It's Not Over,Daughtry,12.16.06,5,12 Wks,03.31.07
What I Want,Daughtry Featuring Slash,05.12.07,6,12 Wks,07.21.07
World On Fire,Daughtry,08.29.20,16,12 Wks,12.26.20
Changes Are Coming,Daughtry,12.11.21,18,12 Wks,04.02.22
Separate Ways (Worlds Apart),Daughtry Featuring Lzzy Hale,01.21.23,5,12 Wks,04.01.23
Crashed,Daughtry,10.06.07,24,12 Wks,12.01.07
The Past,Sevendust Featuring Chris Daughtry,08.23.08,27,12 Wks,10.25.08
Aerials,System Of A Down,06.22.02,1,1 WKS,09.28.02
Chop Suey,System Of A Down,08.04.01,12,12 Wks,12.22.01
B.Y.O.B.,System Of A Down,04.09.05,4,12 Wks,07.09.05
Toxicity,System Of A Down,02.02.02,10,12 Wks,05.04.02
Hypnotize,System Of A Down,10.22.05,5,12 Wks,02.25.06
Lonely Day,System Of A Down,03.04.06,10,12 Wks,06.03.06
Question!,System Of A Down,07.30.05,7,12 Wks,10.22.05
Innervision,System Of A Down,11.23.02,14,12 Wks,12.28.02
Protect The Land,System Of A Down,11.21.20,24,12 Wks,12.12.20
Sugar,System Of A Down,11.20.99,28,12 Wks,12.18.99
Spiders,System Of A Down,04.01.00,25,12 Wks,04.29.00
Cigaro,System Of A Down,02.19.05,34,12 Wks,02.19.05
Kill Rock 'N' Roll,System Of A Down,07.08.06,38,12 Wks,07.08.06
All Apologies,Nirvana,12.18.93,4,12 Wks,03.05.94
About A Girl,Nirvana,10.15.94,3,12 Wks,12.17.94
You Know You're Right,Nirvana,10.12.02,1,4 WKS,11.02.02
Come As You Are,Nirvana,01.25.92,3,12 Wks,04.04.92
Smells Like Teen Spirit,Nirvana,11.02.91,7,12 Wks,02.01.92
Heart-Shaped Box,Nirvana,09.18.93,4,12 Wks,11.06.93
In Bloom,Nirvana,12.26.92,5,12 Wks,01.30.93
Lithium,Nirvana,06.20.92,16,12 Wks,07.25.92
The Man Who Sold The World,Nirvana,01.28.95,12,12 Wks,03.11.95
Aneurysm (Live),Nirvana,09.28.96,11,12 Wks,10.12.96
Lake Of Fire,Nirvana,05.27.95,22,12 Wks,06.10.95
True To You,Ric Ocasek,10.11.86,9,12 Wks,12.13.86
SOMETHING TO GRAB FOR,Ric Ocasek,01.29.83,5,12 Wks,02.19.83
Emotion In Motion,Ric Ocasek,09.06.86,1,1 WKS,10.04.86
Rockaway,Ric Ocasek,06.29.91,11,12 Wks,07.20.91
JIMMY JIMMY,Ric Ocasek,02.05.83,25,12 Wks,02.05.83
Tomorrow,Silverchair,07.08.95,1,3 WKS,09.23.95
Pure Massacre,Silverchair,11.04.95,12,12 Wks,01.06.96
Abuse Me,Silverchair,01.25.97,4,12 Wks,02.15.97
Anthem For The Year 2000,Silverchair,03.13.99,15,12 Wks,05.22.99
Ana's Song (Open Fire),Silverchair,07.17.99,28,12 Wks,07.31.99
Freak,Silverchair,05.03.97,25,12 Wks,05.24.97
Israel's Son,Silverchair,03.09.96,39,12 Wks,03.09.96
Need A Favor,Jelly Roll,03.18.23,1,3 WKS,07.15.23
Dead Man Walking,Jelly Roll,12.18.21,1,1 WKS,05.14.22
Don't Mean Nothing,Richard Marx,05.23.87,1,1 WKS,07.04.87
Satisfied,Richard Marx,05.06.89,5,12 Wks,06.03.89
Have Mercy,Richard Marx,11.14.87,17,12 Wks,12.19.87
Should've Known Better,Richard Marx,08.08.87,7,12 Wks,09.05.87
Nothin' You Can Do About It,Richard Marx,07.22.89,12,12 Wks,09.02.89
Too Late To Say Goodbye,Richard Marx,01.20.90,17,12 Wks,02.17.90
Endless Summer Nights,Richard Marx,02.13.88,41,12 Wks,02.20.88
Loser,3 Doors Down,06.24.00,1,21 WKS,09.09.00
Kryptonite,3 Doors Down,02.05.00,1,9 WKS,04.08.00
When I'm Gone,3 Doors Down,10.05.02,1,17 WKS,11.30.02
It's Not My Time,3 Doors Down,03.01.08,1,3 WKS,04.26.08
Duck And Run,3 Doors Down,01.13.01,1,3 WKS,04.07.01
Be Like That,3 Doors Down,06.16.01,10,12 Wks,07.21.01
Here Without You,3 Doors Down,08.16.03,14,12 Wks,10.18.03
Let Me Go,3 Doors Down,12.11.04,6,12 Wks,02.19.05
The Road I'm On,3 Doors Down,04.05.03,8,12 Wks,05.31.03
Train,3 Doors Down,06.07.08,10,12 Wks,10.04.08
Every Time You Go,3 Doors Down,06.04.11,16,12 Wks,09.03.11
Citizen/Soldier,3 Doors Down,12.27.08,19,12 Wks,03.21.09
One Light,3 Doors Down,11.10.12,8,12 Wks,02.23.13
In The Dark,3 Doors Down,02.06.16,2,12 Wks,03.26.16
Still Alive,3 Doors Down,06.25.16,6,12 Wks,09.24.16
Behind Those Eyes,3 Doors Down,04.23.05,12,12 Wks,06.04.05
Live For Today,3 Doors Down,08.27.05,18,12 Wks,10.29.05
When You're Young,3 Doors Down,01.29.11,9,12 Wks,02.26.11
Landing In London (All I Think About Is You),3 Doors Down Featuring Bob Seger,12.24.05,32,12 Wks,01.28.06
Away From The Sun,3 Doors Down,02.07.04,20,12 Wks,02.28.04
The Better Life (XX Mix),3 Doors Down,03.06.21,37,12 Wks,04.03.21
The Broken,3 Doors Down,01.21.17,38,12 Wks,01.21.17
Two Weeks,All That Remains,10.11.08,9,12 Wks,05.16.09
Stand Up,All That Remains,09.22.12,1,2 WKS,02.16.13
What If I Was Nothing,All That Remains,10.19.13,2,12 Wks,03.01.14
Hold On,All That Remains,10.02.10,10,12 Wks,02.19.11
The Last Time,All That Remains,05.14.11,8,12 Wks,09.24.11
The Waiting One,All That Remains,11.26.11,7,12 Wks,04.14.12
Forever In Your Hands,All That Remains,07.11.09,15,12 Wks,11.21.09
Asking Too Much,All That Remains,04.13.13,14,12 Wks,07.13.13
For You,All That Remains,06.13.15,15,12 Wks,09.12.15
Madness,All That Remains,02.25.17,11,12 Wks,05.13.17
The Thunder Rolls,All That Remains,10.14.17,23,12 Wks,12.02.17
This Probably Won't End Well,All That Remains,01.24.15,11,12 Wks,03.28.15
Victory Lap,All That Remains,11.21.15,22,12 Wks,01.30.16
Everything's Wrong,All That Remains,03.02.19,25,12 Wks,04.27.19
Down Under,Men At Work,10.23.82,1,5 WKS,11.27.82
OVERKILL,Men At Work,04.09.83,3,12 Wks,04.16.83
Dr. Heckyll & Mr. Jive,Men At Work,04.30.83,12,12 Wks,05.28.83
It's A Mistake,Men At Work,06.11.83,27,12 Wks,06.25.83
BE GOOD JOHNNY,Men At Work,01.22.83,3,12 Wks,02.05.83
HIGH WIRE,Men At Work,05.28.83,23,12 Wks,06.04.83
Everything I Need,Men At Work,06.15.85,28,12 Wks,06.22.85
UNDERGROUND,Men At Work,03.05.83,20,12 Wks,03.05.83
Who Can It Be Now?,Men At Work,07.10.82,46,12 Wks,07.10.82
Never,Heart,09.07.85,2,12 Wks,10.26.85
Wild Child,Heart,04.14.90,3,12 Wks,06.09.90
Who Will You Run To,Heart,06.06.87,2,12 Wks,07.25.87
What About Love,Heart,06.01.85,3,12 Wks,07.20.85
HOW CAN I REFUSE,Heart,08.13.83,1,1 WKS,09.24.83
There's The Girl,Heart,11.21.87,16,12 Wks,01.16.88
These Dreams,Heart,01.25.86,2,12 Wks,02.22.86
Alone,Heart,05.16.87,3,12 Wks,06.13.87
Nothin' At All,Heart,04.26.86,6,12 Wks,05.24.86
I Didn't Want To Need You,Heart,06.30.90,13,12 Wks,07.28.90
"Tall, Dark Handsome Stranger",Heart,04.28.90,24,12 Wks,09.29.90
Black On Black II,Heart,10.30.93,4,12 Wks,11.13.93
Stranded,Heart,10.20.90,25,12 Wks,11.10.90
All I Wanna Do Is Make Love To You,Heart,03.31.90,2,12 Wks,04.14.90
You're The Voice,Heart,10.12.91,20,12 Wks,10.26.91
THIS MAN IS MINE,Heart,05.22.82,16,12 Wks,05.29.82
CITIES BURNING,Heart,06.05.82,15,12 Wks,06.12.82
SLEEP ALONE,Heart,10.08.83,43,12 Wks,10.08.83
The Heat,Heart,04.21.84,40,12 Wks,04.21.84
Stranger,Jefferson Starship,05.02.81,17,12 Wks,07.18.81
Layin' It On The Line,Jefferson Starship,06.16.84,6,12 Wks,07.28.84
CAN't FIND LOVE,Jefferson Starship,10.30.82,16,12 Wks,12.04.82
WINDS OF CHANGE,Jefferson Starship,11.06.82,18,12 Wks,12.04.82
Find Your Way Back,Jefferson Starship,04.11.81,3,12 Wks,05.09.81
No Way Out,Jefferson Starship,05.12.84,1,1 WKS,07.21.84
Save Your Love,Jefferson Starship,06.27.81,49,12 Wks,10.31.81
BE MY LADY,Jefferson Starship,11.06.82,33,12 Wks,11.06.82
"Sorry Me, Sorry You",Jefferson Starship,09.01.84,50,12 Wks,09.01.84
A Girl Like You,The Smithereens,10.21.89,2,12 Wks,12.23.89
Blues Before And After,The Smithereens,02.10.90,7,12 Wks,03.31.90
Only A Memory,The Smithereens,03.26.88,1,1 WKS,05.07.88
Behind The Wall Of Sleep,The Smithereens,12.06.86,23,12 Wks,01.17.87
Blood & Roses,The Smithereens,08.30.86,14,12 Wks,10.04.86
House We Used To Live In,The Smithereens,06.18.88,14,12 Wks,07.30.88
Tell Me When Did Things Go So Wrong,The Smithereens,11.16.91,28,12 Wks,01.11.92
Miles From Nowhere,The Smithereens,04.23.94,17,12 Wks,05.28.94
Yesterday Girl,The Smithereens,05.26.90,20,12 Wks,07.14.90
Drowned In My Own Tears,The Smithereens,09.03.88,34,12 Wks,10.08.88
Top Of The Pops,The Smithereens,09.07.91,19,12 Wks,09.28.91
In The Meantime,Spacehog,12.16.95,1,4 WKS,04.06.96
Mungo City,Spacehog,03.14.98,19,12 Wks,04.11.98
I Want To Live,Spacehog,03.10.01,23,12 Wks,03.31.01
Cruel To Be Kind,Spacehog,07.06.96,29,12 Wks,07.20.96
The Dirt I'm Buried In,Avatar,02.04.23,1,2 WKS,09.02.23
Colossus,Avatar,07.25.20,16,12 Wks,12.19.20
The Eagle Has Landed,Avatar,04.23.16,16,12 Wks,07.30.16
New Land,Avatar,02.04.17,20,12 Wks,04.29.17
Bloody Angel,Avatar,05.03.14,25,12 Wks,08.02.14
The King Wants You,Avatar,01.20.18,27,12 Wks,02.10.18
Smells Like A Freak Show,Avatar,03.09.13,32,12 Wks,04.13.13
Night Never Ending,Avatar,12.03.16,31,12 Wks,12.31.16
Going Hunting,Avatar,10.30.21,36,12 Wks,11.20.21
Coming Undone,Korn,03.04.06,4,12 Wks,07.29.06
Twisted Transistor,Korn,10.01.05,3,12 Wks,01.07.06
Got The Life,Korn,08.22.98,15,12 Wks,11.14.98
Freak On A Leash,Korn,02.20.99,10,12 Wks,05.22.99
Falling Away From Me,Korn,11.13.99,7,12 Wks,01.29.00
Make Me Bad,Korn,02.19.00,9,12 Wks,06.03.00
Here To Stay,Korn,03.30.02,4,12 Wks,06.08.02
Thoughtless,Korn,06.29.02,6,12 Wks,09.14.02
Take Me,Korn,11.26.16,2,12 Wks,04.08.17
Never Never,Korn,08.24.13,1,3 WKS,11.16.13
Can You Hear Me,Korn,02.15.20,4,12 Wks,06.20.20
Another Brick In The Wall,Korn,11.13.04,12,12 Wks,12.18.04
Hold On,Korn,10.13.07,9,12 Wks,02.16.08
You'll Never Find Me,Korn,07.06.19,3,12 Wks,11.09.19
Black Is The Soul,Korn,07.08.17,10,12 Wks,11.04.17
Start The Healing,Korn,11.20.21,2,12 Wks,02.05.22
Worst Is On Its Way,Korn,04.23.22,11,12 Wks,07.23.22
Spike In My Veins,Korn,12.28.13,5,12 Wks,04.19.14
Hater,Korn,07.12.14,5,12 Wks,10.18.14
Rotting In Vain,Korn,08.06.16,4,12 Wks,10.08.16
Evolution,Korn,06.09.07,4,12 Wks,09.01.07
Get Up!,Korn Featuring Skrillex,05.14.11,10,12 Wks,07.23.11
Narcissistic Cannibal,Korn Featuring Skrillex & Kill The Noise,11.05.11,6,12 Wks,01.07.12
Politics,Korn,09.09.06,18,12 Wks,01.06.07
Did My Time,Korn,07.12.03,12,12 Wks,08.09.03
Right Now,Korn,10.18.03,11,12 Wks,12.13.03
Alone I Break,Korn,11.09.02,19,12 Wks,12.14.02
Let The Guilt Go,Korn,08.21.10,23,12 Wks,10.30.10
Oildale (Leave Me Alone),Korn,05.22.10,10,12 Wks,06.12.10
Word Up,Korn,09.04.04,16,12 Wks,10.16.04
Y'all Want A Single,Korn,01.24.04,23,12 Wks,02.28.04
Freak On A Leash (Unplugged),Korn Featuring Amy Lee,02.17.07,22,12 Wks,03.10.07
Somebody Someone,Korn,07.29.00,23,12 Wks,09.02.00
Everything I've Known,Korn,05.08.04,30,12 Wks,05.29.04
Way Too Far,Korn Featuring 12th Planet,04.07.12,38,12 Wks,04.07.12
Addicted,Saving Abel,02.23.08,2,12 Wks,06.28.08
18 Days,Saving Abel,09.06.08,6,12 Wks,02.07.09
The Sex Is Good,Saving Abel,09.18.10,1,1 WKS,01.15.11
Drowning (Face Down),Saving Abel,03.28.09,3,12 Wks,07.04.09
Stupid Girl (Only In Hollywood),Saving Abel,05.08.10,7,12 Wks,07.31.10
Miss America,Saving Abel,04.02.11,14,12 Wks,05.21.11
Bringing Down The Giant,Saving Abel,06.16.12,13,12 Wks,08.18.12
Fire,Saving Abel,09.16.23,36,12 Wks,09.23.23
Heavy Fuel,Dire Straits,09.21.91,1,1 WKS,12.07.91
Walk Of Life,Dire Straits,06.01.85,6,12 Wks,11.16.85
Money For Nothing,Dire Straits,06.01.85,1,3 WKS,08.03.85
INDUSTRIAL DISEASE,Dire Straits,10.30.82,9,12 Wks,12.04.82
One World,Dire Straits,08.24.85,8,12 Wks,10.19.85
So Far Away,Dire Straits,08.17.85,29,12 Wks,09.14.85
The Bug,Dire Straits,01.11.92,8,12 Wks,02.15.92
Ride Across The River,Dire Straits,01.11.86,21,12 Wks,02.08.86
TWISTING BY THE POOL,Dire Straits,02.12.83,12,12 Wks,03.19.83
Calling Elvis,Dire Straits,09.07.91,3,12 Wks,09.21.91
Expresso Love,Dire Straits,03.21.81,39,12 Wks,04.25.81
Solid Rock,Dire Straits,04.04.81,56,12 Wks,04.04.81
Skateaway,Dire Straits,04.04.81,31,12 Wks,04.04.81
ATHENA,The Who,09.04.82,3,12 Wks,09.25.82
EMINENCE FRONT,The Who,09.18.82,5,12 Wks,11.06.82
Another Tricky Day,The Who,04.04.81,6,12 Wks,04.25.81
You Better You Bet,The Who,03.21.81,1,5 WKS,04.04.81
Saturday Night's Alright For Fighting,The Who,11.02.91,8,12 Wks,11.16.91
DANGEROUS,The Who,10.02.82,38,12 Wks,10.30.82
It's Not Enough,The Who,10.07.06,37,12 Wks,10.14.06
